stateid,populationleft,rateof vaccination
AN,147872.0,2527.0
AP,53990947.0,217604.0
AR,-9500422238.0,24773032.0
AS,19775523.0,177263.0
BR,78932074.0,317409.0
CH,321871.0,6710.0
CT,16161687.0,37210.0
DN,-11424.0,2585.0
DL,8536939.0,72392.0
GA,345730.0,3633.0
GJ,-28233045140594.0,381703316823.0
HR,14859356.0,77113.0
HP,1913813.0,108653.0
JK,6805540.0,44685.0
JH,24190213.0,77176.0
KA,34432967.0,170488.0
KL,16124370.0,266409.0
LD,12795.0,119.0
MP,40962172.0,350481.0
MH,75990985.0,234940.0
MN,1681908.0,3287.0
ML,1998089.0,5199.0
MZ,437097.0,971.0
NL,1339123.0,1366.0
OR,26964561.0,183225.0
PY,631675.0,2850.0
PB,19337319.0,77847.0
RJ,40016655.0,260148.0
SK,109748.0,525.0
TN,50398921.0,177212.0
TR,1240220.0,4059.0
UP,151564076.0,435700.0
UT,4590435.0,67508.0
WB,66460592.0,265210.0
